Term ID	Class	Description	Status
016-884	016	Printed diaries	M
016-365	016	Printed log books	M
016-1081	016	Printed entry tickets	M
016-384	016	Printed file cards	M
016-1199	016	Mounted and unmounted printed photographs	M
016-1517	016	Printed ledger books	M
016-1098	016	Fluting paper	M
016-1262	016	Letter paper	M
016-2359	016	Printed desk top planners	M
016-1252	016	Printed invitation cards	M
016-1545	016	Printed musical greeting cards	M
016-891	016	Printed encyclopedias	M
016-1304	016	Garbage bags of paper for household use	M
016-1089	016	Printed events programmes	M
037-2056	037	Mobile automobile detailing services provided at the location of the customer	A
037-2057	037	Mobile automotive oil change services provided at the location of the customer	A
037-2058	037	Mobile windshield {indicate repair, replacement, or installation} services provided at the location of the customer	A
041-2367	041	Providing refitting of golf club grips to individual users at the location of the customer	A
037-2102	037	Providing information relating to the repair or maintenance of industrial dishwashing machines	A
037-2106	037	Providing information relating to the repair or maintenance of industrial washing machines	A
037-2107	037	Provision of information relating to the repair or maintenance of industrial washing machines	A
037-2110	037	Providing information relating to the repair or maintenance of loading-unloading machines and apparatus	A
037-2113	037	Provision of information relating to the repair or maintenance of machines and apparatus for manufacturing glassware	A
037-2114	037	Providing information relating to the repair or maintenance of machines and apparatus for manufacturing rubber goods	A
037-2117	037	Provision of information relating to the repair or maintenance of machines and apparatus for processing food or beverages	A
037-2123	037	Provision of information relating to the repair or maintenance of measuring and testing machines	A
037-2124	037	Providing information relating to the repair or maintenance of mechanical parking systems	A
037-2128	037	Providing information relating to the repair or maintenance of metalworking machines and tools	A
037-2129	037	Provision of information relating to the repair or maintenance of metalworking machines and tools	A
037-2130	037	Providing information relating to the repair or maintenance of mining machines and apparatus	A
037-2131	037	Provision of information relating to the repair or maintenance of mining machines and apparatus	A
037-2132	037	Providing information relating to the repair or maintenance of musical instruments	A
016-950	016	Printed address books	M
015-178	015	Musical instrument accessories, namely, stands, cases, carrying bags and storage bags	D
012-1653	012	Structural parts for wheelchairs	A
012-1654	012	Wheelchairs and structural parts therefor	A
012-1655	012	Wheels for wheelchairs	A
012-1657	012	Wheelchair spoke covers	A
012-1658	012	Wheelchair spoke guards	A
016-2156	016	Blank journals for writing	M
016-1481	016	Printed accounting forms	M
037-2062	037	Provision of information relating to the repair or maintenance of bookbinding apparatus and machines	A
037-2063	037	Providing information relating to the repair or maintenance of burners	A
037-2064	037	Provision of information relating to the repair or maintenance of burners	A
037-2065	037	Providing information relating to the repair or maintenance of chemical plants	A
037-2066	037	Provision of information relating to the repair or maintenance of chemical plants	A
037-2067	037	Providing information relating to the repair or maintenance of chemical processing machines and apparatus	A
037-2068	037	Provision of information relating to the repair or maintenance of chemical processing machines and apparatus	A
037-2105	037	Provision of information relating to the repair or maintenance of industrial furnaces	A
037-2108	037	Providing information relating to the repair or maintenance of laboratory apparatus and instruments	A
037-2112	037	Providing information relating to the repair or maintenance of machines and apparatus for manufacturing glassware	A
037-2116	037	Providing information relating to the repair or maintenance of machines and apparatus for processing food or beverages	A
037-2119	037	Provision of information relating to the repair or maintenance of machines and apparatus for use in beauty salons or barbers' shops	A
037-2120	037	Providing information relating to the repair or maintenance of machines and instruments for making shoes	A
037-2121	037	Provision of information relating to the repair or maintenance of machines and instruments for making shoes	A
037-2122	037	Providing information relating to the repair or maintenance of measuring and testing machines	A
037-2125	037	Provision of information relating to the repair or maintenance of mechanical parking systems	A
037-2126	037	Providing information relating to the repair or maintenance of medical machines and apparatus	A
037-2127	037	Provision of information relating to the repair or maintenance of medical machines and apparatus	A
016-640	016	Printed computer program manuals for {indicate subject matter}	M
037-2424	037	Sanitizing of floor surfaces	A
037-2432	037	Deodorizing of upholstery	A
037-2434	037	Carpet deodorizing	A
009-6227	009	Protective face coverings being knit face masks for protection against slashing or stabbing	A
009-6235	009	Capillary tubes for samples for laboratory use	A
016-3169	016	Plastic pages with pockets for holding trading cards	A
006-1822	006	Floating floor boards of metal	A
010-2061	010	Spoons for patients with tremor	A
011-4266	011	Heat-stabilized polypropylene pipes for heating installations	A
013-495	013	Starting pistols	A
018-841	018	Vegan leather	A
019-1412	019	Floating floor boards, not of metal	A
019-1413	019	Floor boards, not of metal	A
021-4800	021	Cages for collecting insects	A
021-4801	021	Sound wave vibration hairbrushes	A
021-4802	021	Vessels for making ices and ice cream, non-electric	A
021-4803	021	Water flossers	A
021-4804	021	Piping bags	A
021-4805	021	Insect collectors' boxes	A
024-1437	024	Reusable wax coated fabrics for wrapping food	A
024-1438	024	Elastic woven fabrics	A
028-4450	028	Balls for playing bowls	A
028-4451	028	Cone markers for sports	A
028-4452	028	Hoops for exercise incorporating measuring sensors	A
028-4453	028	Hoops for exercise	A
028-4454	028	Toy glow stick bracelets for parties	A
028-4455	028	Toy glow stick bracelets	A
028-4456	028	Adhesive abdominal exercise belts, electric, for muscle stimulation	A
029-1992	029	Vegetable-based prepared meals for toddlers	A
029-1993	029	Berry soup	A
029-1994	029	Verjuice for culinary purposes	A
030-1986	030	Noodle-based prepared meals for toddlers	A
030-1987	030	Liqueur chocolates	A
030-1988	030	Flavoured jelly crystals for making jelly confectionery	A
030-1989	030	Flavored jelly crystals for making jelly confectionery	A
030-1990	030	Jelly confectionery	A
030-1991	030	Spelt, processed	A
031-1052	031	Birch sauna whisks	A
031-1053	031	Unprocessed squash seeds	A
031-1054	031	Small spelt, unprocessed	A
031-1055	031	Spelt, unprocessed	A
033-261	033	Wine-based beverages	A
035-3145	035	Business intermediary services relating to the matching of various professionals with clients	A
037-2403	037	Rental of battery chargers	A
039-901	039	Cable car transport	A
039-903	039	Rental of safety seats for children, for vehicles	A
039-904	039	Rental of storage lockers	A
039-905	039	Temporary storage of keys	A
037-1525	037	Consultancy relating to vehicle repair	A
037-1571	037	Installation and maintenance of traffic barricades	A
037-1575	037	Installation and repair of burglar or fire alarms	A
037-1576	037	Installation and repair of computers	A
037-1577	037	Installation and repair of door frames	A
037-1584	037	Installation and repair of telecommunication apparatus	A
037-1585	037	Installation and repair of television sets	A
037-1586	037	Installation and repair of televisions	A
037-1588	037	Installation and repair of window frames	A
037-1589	037	Installation and repair services for irrigation systems	A
037-1596	037	Installation, maintenance and repair of apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling electricity	A
037-1626	037	Installation, maintenance and repair of fire and security alarms	A
037-1644	037	Repair of clothing	A
016-2741	016	Instant paper mache	A
037-1648	037	Varnishing of furniture	A
009-5991	009	Downloadable mobile applications for notifying persons of possible exposure to {specify exposure, e.g., a carrier of an infectious disease, public health outbreaks, etc.} to facilitate contact tracing	A
045-2746	045	Contact tracing services in the nature of personal case management for coordinating personal care, medical, social, and psychological services to support the testing and isolation of individuals diagnosed with {indicate, e.g., infectious diseases, communicable diseases, etc.}	A
045-2747	045	Contact tracing services in the nature of locating and tracking persons with exposure to communicable diseases for community safety purposes and outbreak threat prevention	A
045-2748	045	Contact tracing services in the nature of locating and tracking the contacts of sick people for community safety purposes and outbreak threat prevention	A
007-465	007	Cutting torches	A
007-4402	007	Electric pepper grinders	A
008-159	008	Shoe lasts being hand tools	M
009-1123	009	Computer network adapters	A
012-1606	012	Handcars	A
020-1675	020	Costume stands	A
024-1369	024	Flags of textile or plastic	A
025-3	025	Chaps	A
028-4383	028	Table-top games	A
038-25	038	Electronic transmission of messages and data	A
039-864	039	Chauffeuring	A
040-878	040	Textile dyeing	A
040-1052	040	Dyeing of fur	A
040-1055	040	Leather dyeing	A
040-885	040	Fur dyeing	A
040-1048	040	Dyeing of fabrics	A
040-1053	040	Dyeing of artificial fur	A
044-2837	044	Eyebrow dyeing services	A
